window,actor,out_degree,in_degree,out_weight,in_weight,agent_ratio,pagerank
climax_w2,ARAGHCHI,0,0,0,0,,0.0107
climax_w2,BAHRAIN,0,0,0,0,,0.0107
climax_w2,BIDEN,0,0,0,0,,0.0107
climax_w2,CHINA,1,0,1,0,1.0,0.0107
climax_w2,DEMOCRATS,3,0,3,0,1.0,0.0107
climax_w2,EU,0,0,0,0,,0.0107
climax_w2,FRANCE,1,0,1,0,1.0,0.0107
climax_w2,GAZA,0,0,0,0,,0.0107
climax_w2,GERMANY,0,0,0,0,,0.0107
climax_w2,GROSSI,0,0,0,0,,0.0107
climax_w2,GULF_STATES,0,0,0,0,,0.0107
climax_w2,HAMAS,1,0,4,0,1.0,0.0107
climax_w2,HEGSETH,0,0,0,0,,0.0107
climax_w2,HEZBOLLAH,0,0,0,0,,0.0107
climax_w2,HOUTHIS,1,1,1,2,0.3333,0.0115
climax_w2,IAEA,0,0,0,0,,0.0107
climax_w2,IRAN,3,6,23,121,0.1597,0.2481
climax_w2,IRAQ,1,0,2,0,1.0,0.0107
climax_w2,ISRAEL,3,4,44,20,0.6875,0.1246
climax_w2,KHAMENEI,1,2,3,6,0.3333,0.0172
climax_w2,LEBANON,0,0,0,0,,0.0107
climax_w2,NATO,0,0,0,0,,0.0107
climax_w2,NETANYAHU,0,2,0,2,0.0,0.0159
climax_w2,OBAMA,0,0,0,0,,0.0107
climax_w2,OMAN,0,0,0,0,,0.0107
climax_w2,PEZESHKIAN,0,0,0,0,,0.0107
climax_w2,PUTIN,1,0,1,0,1.0,0.0107
climax_w2,QATAR,0,1,0,1,0.0,0.0199
climax_w2,REPUBLICANS,0,1,0,1,0.0,0.0137
climax_w2,RUBIO,0,0,0,0,,0.0107
climax_w2,RUSSIA,1,0,1,0,1.0,0.0107
climax_w2,SAUDI_ARABIA,0,1,0,1,0.0,0.0205
climax_w2,SYRIA,0,0,0,0,,0.0107
climax_w2,TRUMP,4,2,42,4,0.913,0.0209
climax_w2,UAE,0,0,0,0,,0.0107
climax_w2,UK,0,0,0,0,,0.0107
climax_w2,UKRAINE,0,2,0,2,0.0,0.0289
